No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2272,HIIQ,"Health Insurance Innovations, Inc.",Healthcare,Health Care Plans,USA,410.04M,31.39,29.04,2.04%,"1,960,124"
2271,ABMD,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,7.92B,31.37,167.22,1.47%,"621,544"
2270,CTAC,ChaSerg Technology Acquisition Corp.,Conglomerates,Conglomerates,USA,288.92M,31.35,12.54,-2.56%,"146,360"
2269,CHD,"Church & Dwight Co., Inc.",Consumer Goods,Cleaning Products,USA,18.86B,31.29,76.43,0.94%,"884,787"
2268,MEOH,Methanex Corporation,Basic Materials,Specialty Chemicals,Canada,2.68B,31.2,33.63,-0.80%,"321,612"
2266,CAPL,CrossAmerica Partners LP,Basic Materials,Oil & Gas Refining & Marketing,USA,648.17M,31.17,18.98,-0.94%,"26,058"
2267,ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials,USA,7.96B,31.17,58.16,-0.39%,"354,803"
2264,J,Jacobs Engineering Group Inc.,Services,Technical Services,USA,13.43B,31.09,100.66,1.44%,"844,393"
2265,VNOM,Viper Energy Partners LP,Basic Materials,Independent Oil & Gas,USA,1.55B,31.09,23.57,3.51%,"882,859"
2263,PRAH,"PRA Health Sciences, Inc.",Healthcare,Medical Laboratories & Research,USA,7.07B,30.95,111.22,0.96%,"261,314"
2262,GOOG,Alphabet Inc.,Technology,Internet Information Providers,USA,1035.49B,30.93,1520.74,0.40%,"1,161,350"
2261,GILT,Gilat Satellite Networks Ltd.,Technology,Communication Equipment,Israel,544.07M,30.91,9.86,-0.60%,"878,524"
2260,GOOGL,Alphabet Inc.,Technology,Internet Information Providers,USA,1041.68B,30.88,1518.73,0.35%,"1,153,201"
2259,AVD,American Vanguard Corporation,Basic Materials,Agricultural Chemicals,USA,577.78M,30.84,18.29,4.75%,"99,900"
2258,SLG,SL Green Realty Corp.,Financial,REIT - Retail,USA,7.63B,30.83,95.04,0.40%,"345,667"
