No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
442,URI,"United Rentals, Inc.",Services,Rental & Leasing Services,USA,10.30B,8.86,134.64,-5.15%,"1,725,890"
441,EWBC,"East West Bancorp, Inc.",Financial,Foreign Money Center Banks,USA,6.15B,8.85,40.84,-5.99%,"1,713,771"
440,AEO,"American Eagle Outfitters, Inc.",Services,Apparel Stores,USA,2.24B,8.84,13.44,-4.68%,"8,437,090"
437,SCM,Stellus Capital Investment Corporation,Financial,Asset Management,USA,256.37M,8.82,13.56,-5.24%,"407,766"
438,SAN,"Banco Santander, S.A.",Financial,Foreign Money Center Banks,Spain,63.68B,8.82,3.73,-3.62%,"19,049,665"
439,CEQP,Crestwood Equity Partners LP,Basic Materials,Oil & Gas Pipelines,USA,1.72B,8.82,24,-6.87%,"918,717"
434,KTF,DWS Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,470.46M,8.81,11.91,0.25%,"98,537"
435,LAC,Lithium Americas Corp.,Basic Materials,Industrial Metals & Minerals,Canada,419.93M,8.81,4.68,-4.49%,"518,533"
436,ALSN,"Allison Transmission Holdings, Inc.",Consumer Goods,Auto Parts,USA,5.19B,8.81,43.24,-1.99%,"2,256,541"
430,HTGC,"Hercules Capital, Inc.",Financial,Mortgage Investment,USA,1.57B,8.8,15.04,-3.77%,"1,526,411"
431,AGD,Aberdeen Global Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,122.97M,8.8,9.8,-3.36%,"96,553"
432,MHO,"M/I Homes, Inc.",Industrial Goods,Residential Construction,USA,1.12B,8.8,39.34,-5.11%,"263,406"
433,CFFI,C&F Financial Corporation,Financial,Regional - Mid-Atlantic Banks,USA,168.35M,8.8,48.1,-1.92%,"4,154"
428,EVN,Eaton Vance Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,540.27M,8.78,13.62,-0.73%,"109,125"
429,HIX,Western Asset High Income Fund II Inc.,Financial,Closed-End Fund - Debt,USA,572.25M,8.78,6.72,-2.61%,"470,579"
425,IMKTA,"Ingles Markets, Incorporated",Services,Grocery Stores,USA,672.79M,8.75,33.29,-4.34%,"184,940"
426,SAH,"Sonic Automotive, Inc.",Services,Auto Dealerships,USA,1.29B,8.75,28.94,-2.79%,"287,648"
427,HTH,Hilltop Holdings Inc.,Financial,Mortgage Investment,USA,1.93B,8.75,21.37,-2.86%,"545,874"
422,VSEC,VSE Corporation,Services,Technical Services,USA,310.51M,8.74,28.1,-4.42%,"25,904"
423,BLX,"Banco Latinoamericano de Comercio Exterior, S.A",Financial,Foreign Money Center Banks,Panama,592.73M,8.74,18.71,-2.60%,"150,347"
424,PACW,PacWest Bancorp,Financial,Regional - Pacific Banks,USA,4.17B,8.74,34.19,-3.80%,"1,181,287"
421,EIG,"Employers Holdings, Inc.",Financial,Accident & Health Insurance,USA,1.35B,8.73,42.17,-1.29%,"98,709"
420,HWBK,"Hawthorn Bancshares, Inc.",Financial,Regional - Northeast Banks,USA,140.26M,8.71,22.37,-2.44%,"14,696"
419,ENBL,"Enable Midstream Partners, LP",Basic Materials,Oil & Gas Pipelines,USA,3.10B,8.7,7.18,-5.90%,"1,871,448"
418,TM,Toyota Motor Corporation,Consumer Goods,Auto Manufacturers - Major,Japan,218.98B,8.69,134.03,-0.34%,"316,034"
417,MGA,Magna International Inc.,Services,Auto Parts Wholesale,Canada,14.87B,8.68,47.14,-5.11%,"1,571,812"
414,ANAT,American National Insurance Company,Financial,Property & Casualty Insurance,USA,2.90B,8.67,106.93,-2.69%,"54,286"
415,CMC,Commercial Metals Company,Basic Materials,Steel & Iron,USA,2.29B,8.67,19.53,-4.50%,"1,670,753"
416,UVE,"Universal Insurance Holdings, Inc.",Financial,Property & Casualty Insurance,USA,762.67M,8.67,22.78,-2.52%,"210,855"
413,CINF,Cincinnati Financial Corporation,Financial,Property & Casualty Insurance,USA,17.23B,8.66,104.72,-2.57%,"930,676"
412,UNTY,"Unity Bancorp, Inc.",Financial,Money Center Banks,USA,199.65M,8.64,18.35,-3.47%,"17,497"
410,NKG,Nuveen Georgia Quality Municipal Income Fund,Financial,Asset Management,USA,136.03M,8.63,13.08,0.12%,"15,862"
411,CAI,"CAI International, Inc.",Services,Rental & Leasing Services,USA,455.24M,8.63,25.91,-3.39%,"106,132"
409,FDUS,Fidus Investment Corporation,Financial,Asset Management,USA,348.11M,8.6,14.23,-5.64%,"284,782"
408,TSBK,"Timberland Bancorp, Inc.",Financial,Savings & Loans,USA,216.15M,8.59,25.4,-3.50%,"17,303"
406,NAC,Nuveen California Quality Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,2.24B,8.56,15.46,-0.77%,"546,013"
407,NUS,"Nu Skin Enterprises, Inc.",Consumer Goods,Personal Products,USA,1.47B,8.56,26.56,-6.35%,"1,024,735"
403,PMO,Putnam Municipal Opportunities Trust,Financial,Closed-End Fund - Debt,USA,467.10M,8.55,13.61,0.59%,"145,196"
404,TCBI,"Texas Capital Bancshares, Inc.",Financial,Regional - Southwest  Banks,USA,2.77B,8.55,53.12,-3.07%,"263,863"
405,IMO,Imperial Oil Limited,Basic Materials,Major Integrated Oil & Gas,Canada,17.67B,8.55,23.14,-1.41%,"615,238"
